time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
88.0,1.35998E-05,0.001839,0.00131457,0.001839,101325,102953,298.15,353.768,306.8,0,0,2192.53,0,8.51251,0,0,0.5,0.500176,0,0,0,0,102969
90.0,1.35998E-05,0.00193521,0.00137913,0.00193521,101325,102991,298.15,361.883,308.452,0,0,2159.63,0,8.51251,0,0,0.5,0.500216,0,0,0,0,103007
92.0,1.35998E-05,0.00204806,0.00139488,0.00204806,101325,103028,298.15,363.803,310.388,0,0,2126.73,0,8.51251,0,0,0.5,0.500264,0,0,0,0,103045
94.0,1.35998E-05,0.00218162,0.00139457,0.00218162,101325,103065,298.15,363.845,312.614,0,0,2093.83,0,8.51251,0,0,0.5,0.500321,0,0,0,0,103083
96.0,1.35998E-05,0.00233993,0.00139418,0.00233993,101325,103101,298.15,363.882,315.105,0,0,2060.93,0,8.51251,0,0,0.5,0.500385,0,0,0,0,103121
98.0,1.35998E-05,0.00252691,0.00139374,0.00252691,101325,103136,298.15,363.916,317.809,0,0,2028.03,0,8.51251,0,0,0.5,0.500457,0,0,0,0,103157
100.0,1.35998E-05,0.00274625,0.00139322,0.00274625,101325,103171,298.15,363.946,320.656,0,0,1995.13,0,8.51251,0,0,0.5,0.500534,0,0,0,0,103194
102.0,1.35998E-05,0.00300823,0.00139264,0.00300823,101325,103206,298.15,363.975,323.655,0,0,1962.23,0,8.51251,0,0,0.5,0.500616,0,0,0,0,103231
104.0,1.35998E-05,0.00333882,0.00139199,0.00333882,101325,103241,298.15,364.001,326.934,0,0,1929.33,0,8.51251,0,0,0.5,0.500708,0,0,0,0,103269
106.0,1.35998E-05,0.00376317,0.00139127,0.00376317,101325,103276,298.15,364.025,330.454,0,0,1896.43,0,8.51251,0,0,0.5,0.50081,0,0,0,0,103307
108.0,1.35998E-05,0.00429829,0.00139048,0.00429829,101325,103310,298.15,364.047,334.03,0,0,1863.53,0,8.51251,0,0,0.5,0.500915,0,0,0,0,103345
110.0,1.35998E-05,0.0049534,0.00138961,0.0049534,101325,103342,298.15,364.067,337.454,0,0,1830.63,0,8.51251,0,0,0.5,0.501018,0,0,0,0,103383
112.0,1.35998E-05,0.00573205,0.00138867,0.00573205,101325,103373,298.15,364.086,340.58,0,0,1797.73,0,8.51251,0,0,0.5,0.501115,0,0,0,0,103419
114.0,1.35998E-05,0.00663427,0.00138765,0.00663427,101325,103402,298.15,364.103,343.341,0,0,1764.83,0,8.51251,0,0,0.5,0.501202,0,0,0,0,103456
116.0,1.35998E-05,0.00765799,0.00138655,0.00765799,101325,103430,298.15,364.12,345.732,0,0,1731.93,0,8.51251,0,0,0.5,0.501278,0,0,0,0,103491
118.0,1.35998E-05,0.00902683,0.00138537,0.00902683,101325,103456,298.15,364.135,348.124,0,0,1699.03,0,8.51251,0,0,0.5,0.501357,0,0,0,0,103529
120.0,1.35998E-05,0.0111428,0.0013841,0.0111428,101325,103478,298.15,364.149,350.71,0,0,1666.13,0,8.51251,0,0,0.5,0.501444,0,0,0,0,103568
122.0,1.35998E-05,0.0139426,0.00138275,0.0139426,101325,103495,298.15,364.162,352.967,0,0,1633.23,0,8.51251,0,0,0.5,0.501522,0,0,0,0,103606
124.0,1.35998E-05,0.0172347,0.00138131,0.0172347,101325,103506,298.15,364.175,354.719,0,0,1600.33,0,8.51251,0,0,0.5,0.501585,0,0,0,0,103643
