time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
128.0,0.744976,0.865886,0.0437153,0.865886,118260,128740,358.365,381.529,391.698,47.4539,14.6684,5408.52,5119.99,0,5.42088,1.95517,0.977853,0.982336,174.855,110.431,5.42088,1.95517,135289
130.0,0.744783,0.862516,0.0437222,0.862516,118155,128611,358.335,381.83,391.668,47.3874,13.4405,5395.33,5110.94,0,5.41087,1.78959,0.977801,0.982498,174.874,110.206,5.41087,1.78959,135134
132.0,0.744628,0.859208,0.0437303,0.859208,118081,128491,358.315,382.132,391.641,47.3222,12.2167,5382.79,5101.9,0,5.40172,1.62495,0.977747,0.98266,175.373,110.011,5.40172,1.62495,134990
134.0,0.744458,0.856037,0.0437371,0.856037,117996,128377,358.292,382.423,391.615,47.264,10.992,5372.9,5092.85,0,5.39314,1.4606,0.977691,0.98282,174.338,109.84,5.39314,1.4606,134852
136.0,0.744264,0.852948,0.0437432,0.852948,117896,128265,358.264,382.707,391.59,47.2023,9.78205,5361.93,5083.8,0,5.3838,1.29856,0.977633,0.98298,173.649,109.633,5.3838,1.29856,134717
138.0,0.744048,0.849978,0.0437477,0.849978,117780,128153,358.232,382.981,391.565,47.1354,8.57606,5349.36,5074.76,0,5.37355,1.13739,0.977574,0.983138,172.735,109.407,5.37355,1.13739,134582
140.0,0.74382,0.847095,0.0437515,0.847095,117658,128039,358.198,383.246,391.539,47.0636,7.3821,5335.28,5065.71,0,5.36257,0.97813,0.977512,0.983295,172.116,109.157,5.36257,0.97813,134447
142.0,0.743617,0.844262,0.0437537,0.844262,117559,127924,358.17,383.505,391.513,46.9886,6.19397,5320.37,5056.67,0,5.35177,0.819944,0.977447,0.983452,172.506,108.911,5.35177,0.819944,134311
144.0,0.743421,0.841536,0.0437557,0.841536,117467,127810,358.145,383.753,391.487,46.9183,5.00442,5307.35,5047.62,0,5.34167,0.661879,0.97738,0.983607,171.969,108.696,5.34167,0.661879,134176
146.0,0.743226,0.838891,0.043756,0.838891,117377,127695,358.121,383.994,391.46,46.8487,3.82562,5294.78,5038.57,0,5.33171,0.505525,0.97731,0.983762,171.741,108.474,5.33171,0.505525,134041
148.0,0.74303,0.836343,0.0437558,0.836343,117290,127578,358.097,384.225,391.433,46.7788,2.65223,5282.28,5029.53,0,5.32175,0.350168,0.977237,0.983915,171.321,108.257,5.32175,0.350168,133905
150.0,0.74284,0.83388,0.0437546,0.83388,117209,127459,358.075,384.451,391.406,46.7083,1.4881,5269.82,5020.48,0,5.31189,0.196304,0.97716,0.984067,171.065,108.042,5.31189,0.196304,133768
152.0,0.742644,0.831497,0.0437539,0.831497,117126,127340,358.052,384.668,391.378,46.6384,0.331037,5257.76,5011.44,0,5.30203,0.0436325,0.97708,0.984218,170.49,107.829,5.30203,0.0436325,133631
154.0,0.742448,0.829198,0.043753,0.829198,117044,127221,358.03,384.877,391.35,46.5668,0,5245.35,5002.39,0,5.29203,0,0.976997,0.984368,170.155,107.609,5.29203,0,133495
156.0,0.742241,0.826929,0.0437521,0.826929,116955,127104,358.006,385.078,391.323,46.4946,0,5232.92,4993.35,0,5.28182,0,0.97691,0.984517,169.591,107.383,5.28182,0,133361
158.0,0.742043,0.82467,0.0437492,0.82467,116877,126990,357.985,385.271,391.296,46.4197,0,5219.78,4984.3,0,5.27152,0,0.976818,0.984664,169.387,107.157,5.27152,0,133230
160.0,0.74184,0.82242,0.0437454,0.82242,116795,126879,357.963,385.454,391.271,46.3462,0,5207.34,4975.25,0,5.2613,0,0.976722,0.984811,168.858,106.933,5.2613,0,133102
162.0,0.741624,0.820179,0.0437417,0.820179,116706,126770,357.94,385.629,391.246,46.2709,0,5194.49,4966.21,0,5.25074,0,0.976622,0.984956,168.17,106.701,5.25074,0,132977
164.0,0.741399,0.817967,0.0437356,0.817967,116613,126663,357.915,385.794,391.221,46.1927,0,5180.87,4957.16,0,5.23974,0,0.976517,0.985099,167.591,106.454,5.23974,0,132854
166.0,0.741195,0.815743,0.0437291,0.815743,116537,126558,357.895,385.953,391.196,46.1121,0,5166.66,4948.12,0,5.22888,0,0.976406,0.985242,167.729,106.212,5.22888,0,132731
168.0,0.740989,0.813548,0.043723,0.813548,116463,126453,357.876,386.103,391.172,46.035,0,5153.93,4939.07,0,5.21844,0,0.97629,0.985383,167.137,105.987,5.21844,0,132610
170.0,0.740793,0.811334,0.0437158,0.811334,116397,126349,357.859,386.247,391.148,45.9571,0,5141.13,4930.02,0,5.20811,0,0.976168,0.985524,167.015,105.761,5.20811,0,132489
172.0,0.740597,0.809143,0.043708,0.809143,116333,126245,357.843,386.384,391.124,45.8804,0,5128.99,4920.98,0,5.19796,0,0.97604,0.985663,166.471,105.546,5.19796,0,132369
174.0,0.740389,0.806956,0.0436999,0.806956,116261,126143,357.825,386.514,391.1,45.8034,0,5116.92,4911.93,0,5.1876,0,0.975905,0.985801,165.882,105.318,5.1876,0,132250
176.0,0.74018,0.804776,0.0436916,0.804776,116192,126041,357.808,386.638,391.077,45.7234,0,5104.01,4902.89,0,5.17693,0,0.975763,0.985938,165.462,105.085,5.17693,0,132133
178.0,0.739974,0.802604,0.0436823,0.802604,116125,125942,357.791,386.757,391.054,45.6428,0,5091.14,4893.84,0,5.16627,0,0.975614,0.986074,165.139,104.852,5.16627,0,132017
180.0,0.739764,0.800441,0.0436731,0.800441,116057,125844,357.775,386.868,391.032,45.562,0,5078.43,4884.79,0,5.15558,0,0.975457,0.986208,164.624,104.62,5.15558,0,131903
182.0,0.739551,0.798287,0.0436624,0.798287,115989,125749,357.758,386.974,391.01,45.48,0,5065.52,4875.75,0,5.14473,0,0.975293,0.986342,164.174,104.383,5.14473,0,131792
184.0,0.739333,0.796143,0.0436504,0.796143,115918,125656,357.741,387.073,390.988,45.3969,0,5052.45,4866.7,0,5.13371,0,0.97512,0.986474,163.561,104.145,5.13371,0,131683
186.0,0.739116,0.794008,0.0436392,0.794008,115850,125565,357.725,387.166,390.968,45.3121,0,5039.03,4857.66,0,5.12257,0,0.974937,0.986605,163.216,103.9,5.12257,0,131576
188.0,0.738904,0.791882,0.0436256,0.791882,115788,125475,357.711,387.254,390.947,45.2269,0,5025.74,4848.61,0,5.11151,0,0.974746,0.986735,162.913,103.66,5.11151,0,131470
190.0,0.738699,0.789766,0.0436115,0.789766,115733,125385,357.699,387.338,390.926,45.1423,0,5012.86,4839.56,0,5.10066,0,0.974544,0.986863,162.601,103.427,5.10066,0,131364
192.0,0.738493,0.787663,0.0435983,0.787663,115678,125296,357.687,387.416,390.906,45.0585,0,5000.46,4830.52,0,5.0899,0,0.974332,0.98699,162.129,103.197,5.0899,0,131259
194.0,0.738278,0.785575,0.0435857,0.785575,115617,125207,357.674,387.491,390.885,44.9738,0,4987.98,4821.47,0,5.07892,0,0.974109,0.987117,161.416,102.964,5.07892,0,131154
196.0,0.73805,0.783502,0.0435735,0.783502,115548,125118,357.659,387.561,390.865,44.8868,0,4974.92,4812.43,0,5.06751,0,0.973875,0.987241,160.744,102.716,5.06751,0,131050
198.0,0.737837,0.781414,0.0435601,0.781414,115493,125031,357.648,387.627,390.845,44.7968,0,4961.04,4803.38,0,5.05604,0,0.973629,0.987366,160.718,102.466,5.05604,0,130947
200.0,0.73762,0.779338,0.0435454,0.779338,115435,124945,357.636,387.689,390.825,44.7091,0,4948.19,4794.34,0,5.04479,0,0.973371,0.987489,160.141,102.225,5.04479,0,130846
202.0,0.737402,0.777295,0.0435304,0.777295,115378,124861,357.626,387.747,390.806,44.6199,0,4935.05,4785.29,0,5.03339,0,0.9731,0.98761,159.525,101.986,5.03339,0,130747
204.0,0.737185,0.775231,0.0435122,0.775231,115324,124779,357.616,387.801,390.787,44.5301,0,4921.94,4776.24,0,5.02197,0,0.972815,0.987731,159.23,101.738,5.02197,0,130649
206.0,0.737001,0.773176,0.0434774,0.773176,115296,124698,357.614,387.854,390.769,44.4399,0,4908.88,4767.2,0,5.01107,0,0.972515,0.98785,159.209,101.519,5.01107,0,130552
208.0,0.736788,0.771125,0.0434732,0.771125,115248,124618,357.606,387.903,390.75,44.3556,0,4898.16,4758.15,0,5.0004,0,0.972201,0.987969,158.312,101.292,5.0004,0,130457
210.0,0.736571,0.769082,0.0434691,0.769082,115197,124539,357.598,387.95,390.732,44.2652,0,4885.54,4749.11,0,4.98899,0,0.971872,0.988086,157.773,101.049,4.98899,0,130363
212.0,0.736358,0.767046,0.0434544,0.767046,115150,124461,357.592,387.995,390.715,44.1732,0,4872.57,4740.06,0,4.97748,0,0.971527,0.988203,157.469,100.806,4.97748,0,130270
214.0,0.736135,0.76502,0.0434381,0.76502,115097,124385,357.584,388.037,390.697,44.0816,0,4859.95,4731.01,0,4.96587,0,0.971167,0.988318,156.913,100.557,4.96587,0,130179
216.0,0.73594,0.762994,0.0434205,0.762994,115067,124312,357.583,388.077,390.681,43.9873,0,4846.6,4721.97,0,4.95446,0,0.970788,0.988433,157.019,100.322,4.95446,0,130090
218.0,0.73574,0.760992,0.043403,0.760992,115033,124241,357.582,388.114,390.665,43.8983,0,4835.29,4712.92,0,4.94354,0,0.970391,0.988546,156.236,100.104,4.94354,0,130004
220.0,0.735548,0.758956,0.0433863,0.758956,115006,124172,357.582,388.149,390.65,43.8076,0,4823.55,4703.88,0,4.93258,0,0.969976,0.988658,156.161,99.8762,4.93258,0,129920
222.0,0.735367,0.756923,0.0433702,0.756923,114988,124106,357.586,388.184,390.635,43.7179,0,4812.35,4694.83,0,4.92191,0,0.969541,0.98877,155.933,99.6643,4.92191,0,129838
224.0,0.7352,0.754891,0.0433544,0.754891,114980,124042,357.594,388.219,390.622,43.63,0,4801.91,4685.78,0,4.91166,0,0.969086,0.988881,155.721,99.4669,4.91166,0,129760
226.0,0.735009,0.752897,0.0433385,0.752897,114954,123982,357.596,388.253,390.609,43.5443,0,4792.41,4676.74,0,4.90128,0,0.968611,0.98899,154.644,99.2665,4.90128,0,129684
228.0,0.734739,0.751125,0.043324,0.751125,114869,123923,357.582,388.283,390.596,43.4536,0,4781.25,4667.69,0,4.88907,0,0.968121,0.989095,151.24,99.0413,4.88907,0,129612
230.0,0.727137,0.75449,0.0432643,0.75449,109182,123780,355.866,388.116,390.555,43.3464,0,4764.68,4658.65,0,4.75683,0,0.968121,0.989123,0,94.7056,4.75683,0,129495
232.0,0.726943,0.756592,0.0431534,0.756592,109380,123483,355.935,387.875,390.469,41.7621,0,4244.71,4649.6,0,4.58747,0,0.967712,0.989184,143.52,90.6907,4.58747,0,129215
234.0,0.726897,0.757998,0.0428179,0.757998,109619,123133,356.017,387.546,390.367,41.6493,0,4243.42,4640.55,0,4.57977,0,0.967279,0.989255,141.918,90.6623,4.57977,0,128876
236.0,0.726738,0.757518,0.0425399,0.757518,109763,122702,356.071,387.165,390.242,41.5658,0,4246.18,4631.51,0,4.57332,0,0.966835,0.989341,142.805,90.4464,4.57332,0,128442
238.0,0.727175,0.75439,0.0423668,0.75439,110413,122161,356.379,386.893,390.084,41.4594,0,4240.83,4622.46,0,4.51198,0,0.966281,0.989455,169.02,90.7254,4.51198,0,127879
240.0,0.728236,0.751032,0.0422929,0.751032,111059,121532,356.59,386.791,389.9,41.4726,0,4281.19,4613.42,0,4.52605,0,0.965614,0.98957,180.947,92.2024,4.52605,0,127226
242.0,0.72896,0.747633,0.0422833,0.747633,111721,120855,356.807,386.847,389.699,41.6126,0,4322.31,4604.37,0,4.55426,0,0.964885,0.989685,177.218,93.8421,4.55426,0,126525
244.0,0.729448,0.744286,0.0423148,0.744286,112390,120231,357.028,387.014,389.515,41.6876,0,4366.03,4595.32,0,4.57545,0,0.964132,0.9898,170.3,95.2818,4.57545,0,125877
246.0,0.729981,0.741241,0.042367,0.741241,113075,119766,357.247,387.237,389.377,41.7169,0,4411.57,4586.28,0,4.59198,0,0.963385,0.989909,160.874,96.2902,4.59198,0,125390
248.0,0.730494,0.739102,0.0424267,0.739102,113752,119515,357.468,387.467,389.305,41.7564,0,4459.69,4577.23,0,4.60961,0,0.962687,0.990005,143.595,96.6912,4.60961,0,125124
250.0,0.725359,0.742017,0.0424596,0.742017,110330,119383,356.333,387.546,389.266,41.7936,0,4508.33,4568.19,0,4.6077,0,0.962738,0.990032,0,92.5627,4.6077,0,125013
252.0,0.718469,0.745677,0.0424251,0.745677,105413,119253,354.803,387.447,389.227,40.695,0,4189.88,4559.14,0,4.38863,0,0.962738,0.990058,0,85.1642,4.38863,0,124912
254.0,0.712112,0.749639,0.0422993,0.749639,101325,119151,353.426,387.078,389.197,39.2292,0,3731.1,4550.1,0,4.18758,0,0.962738,0.99008,0,78.5062,4.18758,0,124841
256.0,0.711784,0.753001,0.0420464,0.753001,101394,119002,353.518,386.414,389.152,37.8527,0,3338.09,4541.05,0,4.00707,0,0.962366,0.99011,229.245,72.4909,4.00707,0,124717
258.0,0.712194,0.753865,0.0417298,0.753865,101991,118679,353.829,385.701,389.056,37.673,0,3311.42,4532,0,3.81226,0,0.961565,0.990177,202.247,76.9438,3.81226,0,124401
